type,code,parent_code,name_uz,name_uz_cyril,name_ru,name_kaa,deleted
PROFESSION,1494,,Ishlab chiqarish-texnologiya tamponaj boshqarmasi bo’limi boshlig’i,Ишлаб чиқариш-технология тампонаж бошқармаси бўлими бошлиғи,Начальник отдела производственно-технологического тампонажного управления,Óndiris-texnologiya tamponaj basqarması bólimi baslıǵı,false
PROFESSION,1495,,Burg’ulash bo’yicha texnologiya bo’limi boshlig’i,Бурғулаш бўйича технология бўлими бошлиғи,Начальник отдела технологического по бурению,Burǵulash boyınsha texnologiya bólimi baslıǵı,false
PROFESSION,1496,,Neft va gaz konlariga ishlov berish bo’yicha texnologiya bo’limi boshlig’i,Нефт ва газ конларига ишлов бериш бўйича технология бўлими бошлиғи,Начальник отдела технологического по разработке нефтяных и газовых месторождений,Neft hám gaz konlariga islew beriw boyınsha texnologiya bólimi baslıǵı,false
PROFESSION,1497,,Texnologik transport va maxsus texnikalarni ekspluatatsiya qilish bo’limi boshlig’i,Технологик транспорт ва махсус техникаларни эксплуатация қилиш бўлими бошлиғи,Начальник отдела эксплуатации управления технологического транспорта и спецтехники,Texnologiyalıq transport hám arnawlı texnikalardı paydalanıw qılıw bólimi baslıǵı,false
PROFESSION,1498,,Ma’danni boyitish bo’linmasi boshlig’i,Маъданни бойитиш бўлинмаси бошлиғи,Начальник отделения обогащения руды,Ma'danni bayıtıw bólinmasi baslıǵı,false
PROFESSION,1499,,Ma’danni tayyorlash bo’linmasi boshlig’i,Маъданни тайёрлаш бўлинмаси бошлиғи,Начальник отделения рудоподготовки,Ma'danni tayarlaw bólinmasi baslıǵı,false
PROFESSION,1500,,"Geologiya, geofizika, gidrogeologiya, geokimyo, geologiya-qidiruv, seysmo-qidiruv va burg’ulash otryadlari boshlig’i","Геология, геофизика, гидрогеология, геокимё, геология-қидирув, сейсмо-қидирув ва бурғулаш отрядлари бошлиғи","Начальник отряда геологического, геофизического, гидрогеологического, геохимического, геологоразведочного, сейсморазведочного, бурового","Geologiya, geofizika, gidrogeologiya, geokimyo, geologiya-izlew, seysmo-izlew hám burǵulash otryadları baslıǵı",false
PROFESSION,1501,,"Park (mashina, ponton, rezervuar va boshqalar) boshlig’i","Парк (машина, понтон, резервуар ва бошқалар) бошлиғи","Начальник парка (машинного, понтонного, резервуарного и др.)","Park (mashina, ponton, rezervuar hám basqalar) baslıǵı",false
PROFESSION,1502,,Partiya boshlig’i,Партия бошлиғи,Начальник партии,Partiya baslıǵı,false
PROFESSION,1503,,Partiya boshlig’i (sanoatda),Партия бошлиғи (саноатда),Начальник партии в промышленности,Partiya baslıǵı (sanoatda),false
PROFESSION,1504,,Geologiya partiyasi boshlig’i,Геология партияси бошлиғи,Начальник партии геологической,Geologiya partiyasi baslıǵı,false
PROFESSION,1505,,Geologiya qidiruv partiyasi boshlig’i,Геология қидирув партияси бошлиғи,Начальник партии геологоразведочной,Geologiya izlew partiyasi baslıǵı,false
PROFESSION,1506,,Geofizika partiyasi boshlig’i,Геофизика партияси бошлиғи,Начальник партии геофизической,Geofizika partiyasi baslıǵı,false
PROFESSION,1507,,Geokimyo partiyasi boshlig’i,Геокимё партияси бошлиғи,Начальник партии геохимической,Geokimyo partiyasi baslıǵı,false
PROFESSION,1763,,Direksiya boshlig’i,Дирекция бошлиғи,Начальник дирекции,Direksiya baslıǵı,false
PROFESSION,1508,,Gidrogeologiya partiyasi boshlig’i,Гидрогеология партияси бошлиғи,Начальник партии гидрогеологической,Gidrogeologiya partiyasi baslıǵı,false
PROFESSION,1509,,Konchilik geofizikasi partiyasi boshlig’i,Кончилик геофизикаси партияси бошлиғи,Начальник партии промысловой геофизики,Konchilıq geofizikasi partiyasi baslıǵı,false
PROFESSION,1510,,Topografo-geodeziya partiyasi boshlig’i,Топографо-геодезия партияси бошлиғи,Начальник партии топографо-геодезической,Topografo-geodeziya partiyasi baslıǵı,false
PROFESSION,1511,,"Maydon (quduqlarni kapital ta’mirlashda konteyner, quvur-asbob va boshqalar) boshlig’i","Майдон (қудуқларни капитал таъмирлашда контейнер, қувур-асбоб ва бошқалар) бошлиғи","Начальник площадки (контейнерной, трубно-инструментальной в капитальном ремонте скважин и др.)","Maydon (quduqlardı kapital ta'mirlashda konteyner, qubır-ásbap hám basqalar) baslıǵı",false
PROFESSION,1512,,SHaxta yer osti uchastkasi boshlig’i,Шахта ер ости участкаси бошлиғи,Начальник подземного участка шахты,Shaxta jer osti uchastkası baslıǵı,false
PROFESSION,1513,,SHaxta sirtidagi yordamchi ishlab chiqarish boshlig’i,Шахта сиртидаги ёрдамчи ишлаб чиқариш бошлиғи,Начальник подсобных производств на шахтной поверхности,Shaxta sirtidagi járdemshi óndiris baslıǵı,false
PROFESSION,1514,,SHaxta yo’llari boshlig’i,Шахта йўллари бошлиғи,Начальник проходки шахты,Shaxta yólları baslıǵı,false
PROFESSION,1517,,Gaz sifatini nazorat qilish sektori boshlig’i,Газ сифатини назорат қилиш сектори бошлиғи,Начальник сектора контроля качества газа,Gaz sapasın qadaǵalaw qılıw sektorı baslıǵı,false
PROFESSION,1518,,Xizmat boshlig’i (boshqa funksional xizmatda),Хизмат бошлиғи (бошқа функционал хизматда),Начальник службы (других функциональных служб),Xızmet baslıǵı (basqa funksional xizmatda),false
PROFESSION,1519,,Geologiya xizmati boshlig’i,Геология хизмати бошлиғи,Начальник службы геологической,Geologiya xızmeti baslıǵı,false
PROFESSION,1520,,Konakt-kabel’ tarmog’i xizmati boshlig’i,Конакт-кабель тармоғи хизмати бошлиғи,Начальник службы контактно-кабельной сети,Konakt-kabel' tarmaǵı xızmeti baslıǵı,false
PROFESSION,1521,,Gaz sifatini nazorat qilish xizmati boshlig’i,Газ сифатини назорат қилиш хизмати бошлиғи,Начальник службы контроля качества газа,Gaz sapasın qadaǵalaw qılıw xızmeti baslıǵı,false
PROFESSION,1522,,Lineyno-ekspluatatsiya xizmati boshlig’i,Линейно-эксплуатация хизмати бошлиғи,Начальник службы линейно-эксплуатационной,Lineyno-paydalanıw xızmeti baslıǵı,false
PROFESSION,1523,,Tezkorishlab chiqarish xizmati boshlig’i,Тезкоришлаб чиқариш хизмати бошлиғи,Начальник службы оперативно-производственной,Tezkorishlab shıǵarıw xızmeti baslıǵı,false
PROFESSION,1524,,Tuman muhandis texnologiya xizmati boshlig’i,Туман муҳандис технология хизмати бошлиғи,Начальник службы районной инженернотехнологической,Rayon injener texnologiya xızmeti baslıǵı,false
PROFESSION,1525,,Markaziy muhandis texnologiya xizmati boshlig’i,Марказий муҳандис технология хизмати бошлиғи,Начальник службы центральной инженернотехнологической,Oraylıq injener texnologiya xızmeti baslıǵı,false
PROFESSION,1526,,Markaziy muhundis-texnologiya tamponaj boshqarmasi xizmat boshlig’i,Марказий муҳундис-технология тампонаж бошқармаси хизмат бошлиғи,Начальник службы центральной инженернотехнологической тампонажного управления,Oraylıq muhundis-texnologiya tamponaj basqarması xızmet baslıǵı,false
PROFESSION,1527,,Muhandis-texnologiya xizmati smena boshlig’i,Муҳандис-технология хизмати смена бошлиғи,Начальник смены инженерно-технологической службы,Injener-texnologiya xızmeti awısım baslıǵı,false
PROFESSION,1528,,Erosti gaz ombori stansiyasi boshlig’i,Ерости газ омбори станцияси бошлиғи,Начальник станции подземного хранилища газа,Erosti gaz qoyması stanciyası baslıǵı,false
PROFESSION,1529,,Statsionar platforma (razvedka va ekspluatatsion burg’ilashda) boshlig’i,Стационар платформа (разведка ва эксплуатацион бурғилашда) бошлиғи,Начальник стационарной платформы (в разведочном и эксплуатационном бурении),Statsionar platforma (razvedka hám ekspluatatsion burǵilashda) baslıǵı,false
PROFESSION,1530,,"Trest boshlig’i (burg’ilash, qidiruv)","Трест бошлиғи (бурғилаш, қидирув)","Начальник треста (бурового, разведочного)","Trest baslıǵı (burǵilash, izlew)",false
PROFESSION,1531,,Er osti gaz saqlash boshqarmasi boshlig’i,Ер ости газ сақлаш бошқармаси бошлиғи,Начальник управления подземного хранения газа,Jer osti gaz saqlaw basqarması baslıǵı,false
PROFESSION,1532,,"Qurilma (burg’ilash, gazobenzin, kislorod, to’yintirish, regenaratsion va boshqalar) boshlig’i","Қурилма (бурғилаш, газобензин, кислород, тўйинтириш, регенарацион ва бошқалар) бошлиғи","Начальник установки (буровой, газобензиновой, кислородной, обогатительной, регенерационной и др.)","Qurılma (burǵilash, gazobenzin, kislorod, tóyintirish, regenaratsion hám basqalar) baslıǵı",false
PROFESSION,1533,,Gazni oltingugurtli birikmalar va uglerod oksididan tozalash qurilmalari boshlig’i,Газни олтингугуртли бирикмалар ва углерод оксидидан тозалаш қурилмалари бошлиғи,Начальник установки очистки газа от сернистых соединений и окиси углерода,Gazni oltingugurtli birikmalar hám uglerod oksididan tazalaw qurılmaları baslıǵı,false
PROFESSION,1534,,Neft va gazni tayyorlash bo’yicha uskuna boshlig’i,Нефт ва газни тайёрлаш бўйича ускуна бошлиғи,Начальник установки по подготовке нефти и газа,Neft hám gazni tayarlaw boyınsha uskuna baslıǵı,false
PROFESSION,3623,,Provizor-intern,Провизор-интерн,Провизор-интерн,Provizor-intern,false
PROFESSION,1535,,Yarim yuklash va o’zi ko’tarish burg’ulash uskunasi boshlig’i,Ярим юклаш ва ўзи кўтариш бурғулаш ускунаси бошлиғи,Начальник установки полупогружной и самоподъемной буровой,Yarim júklew hám ózi kótarish burǵulash úskenesi baslıǵı,false
PROFESSION,1536,,Burg’ulash-portlatish ishlari uchastkasi boshlig’i,Бурғулаш-портлатиш ишлари участкаси бошлиғи,Начальник участка буровзрывных работ,Burǵulash-portlatish jumısları uchastkası baslıǵı,false
PROFESSION,1537,,"Geologiya, geofizika, gidrologiya, geokimyo, geologiya qidiruv va burg’ulash uchastkasi boshlig’i","Геология, геофизика, гидрология, геокимё, геология қидирув ва бурғулаш участкаси бошлиғи","Начальник участка геологического, геофизического, гидрогеологического, геохимического, геологоразведочного, бурового","Geologiya, geofizika, gidrologiya, geokimyo, geologiya izlew hám burǵulash uchastkası baslıǵı",false
PROFESSION,1538,,Torfni qazib olish va quritish uchastka boshlig’i,Торфни қазиб олиш ва қуритиш участка бошлиғи,Начальник участка добычи и сушки торфа,Torfni qazıp alıw hám keptiriw uchastka baslıǵı,false
PROFESSION,1539,,Er osti uchastkasi boshlig’i,Ер ости участкаси бошлиғи,Начальник участка подземного,Jer osti uchastkası baslıǵı,false
PROFESSION,1540,,Reagent xo’jaligi boshlig’i,Реагент хўжалиги бошлиғи,Начальник хозяйства реагентного,Reagent xójaligi baslıǵı,false
PROFESSION,1541,,Ishlab chiqarishni avtomatlashtirish sexi boshlig’i,Ишлаб чиқаришни автоматлаштириш цехи бошлиғи,Начальник цеха автоматизации производства,Ishlab chiqarishni avtomatlastırıw cexi baslıǵı,false
PROFESSION,1542,,Briket sexi boshlig’i,Брикет цехи бошлиғи,Начальник цеха брикетного,Briket cexi baslıǵı,false
PROFESSION,1543,,Burg’ulash qorishmasi va maxsus suyuqlik sexi boshlig’i,Бурғулаш қоришмаси ва махсус суюқлик цехи бошлиғи,Начальник цеха буровых растворов и специальных жидкостей,Burǵulash qorishmasi hám arnawlı suyuqlıq cexi baslıǵı,false
PROFESSION,1544,,YUqori montajli sex boshlig’i,Юқори монтажли цех бошлиғи,Начальник цеха вышкомонтажного,Joqarı montajli cex baslıǵı,false
PROFESSION,1545,,Gaz sexi boshlig’i,Газ цехи бошлиғи,Начальник цеха газового,Gaz cexi baslıǵı,false
PROFESSION,1546,,Quduqlarni mustahkamlash sexi boshlig’i,Қудуқларни мустаҳкамлаш цехи бошлиғи,Начальник цеха крепления скважин,Quduqlardı mustahkamlash cexi baslıǵı,false
PROFESSION,1547,,Bug’-suv ta’minoti sexi boshlig’i,Буғ-сув таъминоти цехи бошлиғи,Начальник цеха пароводоснабжения,Buǵ-suw támiyinlewi cexi baslıǵı,false
PROFESSION,1548,,Neft va gaz qazib olish bo’yicha sex boshlig’i,Нефт ва газ қазиб олиш бўйича цех бошлиғи,Начальник цеха по добыче нефти и газа,Neft hám gaz qazıp alıw boyınsha cex baslıǵı,false
PROFESSION,1549,,Qatlam bosimini tutib turish sexi boshlig’i,Қатлам босимини тутиб туриш цехи бошлиғи,Начальник цеха по поддержанию пластового давления,Qatlam bosimini tutib turish cexi baslıǵı,false
PROFESSION,1550,,"Quduqni ta’mirlash (kapital, yer osti) bo’yicha sex boshlig’i","Қудуқни таъмирлаш (капитал, ер ости) бўйича цех бошлиғи","Начальник цеха по ремонту скважин (капитальному, подземному)","Quduqni ońlaw (kapital, jer osti) boyınsha cex baslıǵı",false
PROFESSION,1551,,Neft mahsulotlarini yuklash va tushuirish sexi boshlig’i,Нефт маҳсулотларини юклаш ва тушуириш цехи бошлиғи,Начальник цеха слива-налива нефтепродуктов,Neft ónimlerin júklew hám tushuirish cexi baslıǵı,false
PROFESSION,1552,,SHaxta boshlig’i,Шахта бошлиғи,Начальник шахты,Shaxta baslıǵı,false
PROFESSION,1553,,"Ekspeditsiya (geologik, geologorazvedka, qidiruv, konchilik, topografo-geodezik va boshqalar) boshlig’i","Экспедиция (геологик, геологоразведка, қидирув, кончилик, топографо-геодезик ва бошқалар) бошлиғи","Начальник экспедиции (геологической, геологоразведочной, изыскательской, промысловой, топографо-геодезической и других)","Ekspeditsiya (geologik, geologorazvedka, izlew, konchilıq, topografo-geodezik hám basqalar) baslıǵı",false
PROFESSION,1554,,Ekspluatatsiya boshlig’i,Эксплуатация бошлиғи,Начальник эксплуатации,Paydalanıw baslıǵı,false
PROFESSION,1556,,Bosh arxitektor,Бош архитектор,Главный архитектор,Bas arxitektor,false
PROFESSION,1557,,Loyiha bosh arxitektori,Лойиҳа бош архитектори,Главный архитектор проекта,Joybar bas arxitektori,false
PROFESSION,1558,,Bosh geodezist,Бош геодезист,Главный геодезист,Bas geodezist,false
PROFESSION,1559,,Bosh gidrogeolog,Бош гидрогеолог,Главный гидрогеолог,Bas gidrogeolog,false
PROFESSION,1560,,Bosh dispetcher,Бош диспетчер,Главный диспетчер,Bas dispetcher,false
PROFESSION,1561,,Uy-joy kommunal xizmat ko’rsatish bo’yicha bosh dispetcheri,Уй-жой коммунал хизмат кўрсатиш бўйича бош диспетчери,Главный диспетчер по жилищно-коммунальному обслуживанию,Turar jay kommunal xızmet kórsetiw boyınsha bas dispetcheri,false
PROFESSION,1562,,Loyiha bosh muhandisi,Лойиҳа бош муҳандиси,Главный инженер проекта,Joybar bas injeneri,false
PROFESSION,1563,,Loyiha bosh konstruktori,Лойиҳа бош конструктори,Главный конструктор проекта,Joybar bas konstruktori,false
PROFESSION,1564,,Bosh marksheyder,Бош маркшейдер,Главный маркшейдер,Bas marksheyder,false
PROFESSION,1565,,Bosh mexanik,Бош механик,Главный механик,Bas mexanik,false
PROFESSION,1566,,Asosiy bo’limda (arxitektura rejalashtirish ustaxonasida) bosh mutaxassis,Асосий бўлимда (архитектура режалаштириш устахонасида) бош мутахассис,Главный специалист в основном отделе (архитектурнопланировочной мастерской),Tiykarǵı bólimda (arxitektura rejelestiriw ustaxonasida) Bas qánige,false
PROFESSION,1567,,Kapital qurilish bo’yicha bosh mutaxassis,Капитал қурилиш бўйича бош мутахассис,Главный специалист по капитальному строительству,Kapital qurılıs boyınsha Bas qánige,false
PROFESSION,1568,,Avtomatlashtirish tizimlarini montaj qilish va sozlash bo’yicha bosh mutaxassis,Автоматлаштириш тизимларини монтаж қилиш ва созлаш бўйича бош мутахассис,Главный специалист по монтажу и наладке систем автоматизации,Avtomatlastırıw tizimların montaj qılıw hám sazlaw boyınsha Bas qánige,false
PROFESSION,1569,,"Loyiha ishlari, loyiha-smeta hujjatlarini ekspertizadan o’tkazishni tashkil etish, pudrat ishlari bo’yicha bosh mutaxassis","Лойиҳа ишлари, лойиҳа-смета ҳужжатларини экспертизадан ўтказишни ташкил этиш, пудрат ишлари бўйича бош мутахассис","Главный специалист по проектным работам, организации экспертизы проектно-сметной документации и подрядным работам","Joybar jumısları, joybar-smeta hujjatların ekspertizadan ótkazishni tashkil etish, pudrat jumısları boyınsha Bas qánige",false
PROFESSION,1570,,"Santexnika, gaz materiallari va jihozlari bo’yicha bosh mutaxassis","Сантехника, газ материаллари ва жиҳозлари бўйича бош мутахассис","Главный специалист по сантехническим, газовым материалам и оборудованию","Santexnika, gaz materialları hám úskeneleri boyınsha Bas qánige",false
PROFESSION,1571,,Santexnika jihozlari bo’yicha bosh mutaxassis,Сантехника жиҳозлари бўйича бош мутахассис,Главный специалист по сантехническому оборудованию,Santexnika úskeneleri boyınsha Bas qánige,false
PROFESSION,1572,,Qurilish va ta’mirlash bo’yicha bosh mutaxassis,Қурилиш ва таъмирлаш бўйича бош мутахассис,Главный специалист по строительству и ремонту,Qurılıs hám ońlaw boyınsha Bas qánige,false
PROFESSION,1573,,Uy joyni va yer fondini hisobga olish bo’yicha bosh mutaxassis,Уй жойни ва ер фондини ҳисобга олиш бўйича бош мутахассис,Главный специалист по учету жилого и земельного фонда,Úy joyni hám jer fondini hisobga alıw boyınsha Bas qánige,false
PROFESSION,1574,,"Kimyoviy himoya, izolyatsiyalash, bo’yash va umumiy qurilish materiallari bo’yicha bosh mutaxassis","Кимёвий ҳимоя, изоляциялаш, бўяш ва умумий қурилиш материаллари бўйича бош мутахассис","Главный специалист по химзащитным, изоляционным, лакокрасочным и общестроительным материалам","Ximiyalıq qorǵaw, izolyatsiyalash, bóyash hám ulıwma qurılıs materialları boyınsha Bas qánige",false
PROFESSION,1633,,Temir yo’llar bosh metrologi,Темир йўллар бош метрологи,Главный метролог железной дороги,Temir yóllar bas metrologi,false
PROFESSION,1674,,Stansiya boshlig’i o’rinbosari,Станция бошлиғи ўринбосари,Заместитель начальника станции,Stanciya baslıǵı orınbasarı,false
PROFESSION,1575,,"Bosh quruvchi (uy-joy qurish, qishloq qurilish kombinatida)","Бош қурувчи (уй-жой қуриш, қишлоқ қурилиш комбинатида)","Главный строитель (домостроительного, сельского строительного комбината)","Bas qurıwshı (turar jay qurish, awıl qurılıs kombinatida)",false
PROFESSION,1576,,Bosh texnolog,Бош технолог,Главный технолог,Bas texnolog,false
PROFESSION,1577,,Loyiha bosh texnologi,Лойиҳа бош технологи,Главный технолог проекта,Joybar bas texnologi,false
PROFESSION,1578,,Bosh elektrik,Бош электрик,Главный электрик,Bas elektrik,false
PROFESSION,1579,,Bosh energetik,Бош энергетик,Главный энергетик,Bas energetik,false
PROFESSION,1580,,Uy-joy kommunal boshqarmasi bosh energetigi,Уй-жой коммунал бошқармаси бош энергетиги,Главный энергетик жилищно-коммунального управления,Turar jay kommunal basqarması bas energetigi,false
PROFESSION,1581,,Kapital qurilish bo’yicha direktor,Капитал қурилиш бўйича директор,Директор по капитальному строительству,Kapital qurılıs boyınsha direktor,false
PROFESSION,1582,,Duradgorlik ustaxonasi mudiri,Дурадгорлик устахонаси мудири,Заведующий столярной мастерской,Duradgorlıq ustaxanası baslıǵı,false
PROFESSION,1583,,Kapital qurilish bo’yicha direktor muovini-AES kapital qurilish boshqarmasi boshlig’i,Капитал қурилиш бўйича директор муовини-АЭС капитал қурилиш бошқармаси бошлиғи,Заместитель директора по капитальному строительству-начальник управления капитального строительства АЭС,Kapital qurılıs boyınsha direktor muovini-AES kapital qurılıs basqarması baslıǵı,false
PROFESSION,1584,,Uchastka boshlig’i o’rinbosari,Участка бошлиғи ўринбосари,Заместитель начальника участка,Uchastka baslıǵı orınbasarı,false
PROFESSION,1585,,To’g’rilash va yo’l ishlari ustasi,Тўғрилаш ва йўл ишлари устаси,Мастер выпрямительных и путевых работ,Tóǵrilash hám jol jumısları ustası,false
PROFESSION,1586,,"Distansiya (fuqaro inshootlari, elektrota’minot va boshqalar) ustasi","Дистанция (фуқаро иншоотлари, электротаъминот ва бошқалар) устаси","Мастер дистанции (гражданских сооружений, электроснабжения и др.)","Distansiya (puqara inshootları, elektrota'minot hám basqalar) ustası",false
PROFESSION,1587,,Yo’l ustasi,Йўл устаси,Мастер дорожный,Jol ustası,false
PROFESSION,1588,,Ko’prik ustasi,Кўприк устаси,Мастер мостовой,Kóprik ustası,false
PROFESSION,1589,,Uy-joyni ta’mirlash va ekspluatatsiya qilishni tashkil etish jamg’armasi bo’yicha usta,Уй-жойни таъмирлаш ва эксплуатация қилишни ташкил этиш жамғармаси бўйича уста,Мастер по организации эксплуатации и ремонту жилищного фонда,Úy-joyni ońlaw hám paydalanıw qilishni tashkil etish jamǵarmasi boyınsha usta,false
PROFESSION,1881,,Xizmati boshlig’i,Хизмати бошлиғи,Начальник службы,Xızmeti baslıǵı,false
PROFESSION,1590,,O’zgartirish majmuasi bo’yicha usta,Ўзгартириш мажмуаси бўйича уста,Мастер по преобразовательному комплексу,Ózgertiw kompleksi boyınsha usta,false
PROFESSION,1591,,Gidroinshootlarni ta’mirlash bo’yicha usta,Гидроиншоотларни таъмирлаш бўйича уста,Мастер по ремонту гидросооружений,Gidroinshootlardı ońlaw boyınsha usta,false
PROFESSION,1592,,Yo’l-qurilish mashinalarini ta’mirlash bo’yicha usta,Йўл-қурилиш машиналарини таъмирлаш бўйича уста,Мастер по ремонту дорожно-строительных машин,Jol-qurılıs mashinaların ońlaw boyınsha usta,false
PROFESSION,1593,,Ventilyatsiya va konditsiyalash tizimiga xizmat ko’rsatish va ularni ta’mirlash bo’yicha usta,Вентиляция ва кондициялаш тизимига хизмат кўрсатиш ва уларни таъмирлаш бўйича уста,Мастер по ремонту и обслуживанию систем вентиляции и кондиционирования,Ventilyatsiya hám konditsiyalash tizimiga xızmet kórsetiw hám olardı ońlaw boyınsha usta,false
PROFESSION,1594,,Mashina va mexanizmlarni ta’mirlash bo’yicha usta,Машина ва механизмларни таъмирлаш бўйича уста,Мастер по ремонту машин и механизмов,Mashina hám mexanizmlardı ońlaw boyınsha usta,false
PROFESSION,1595,,Yo’llarni ta’mirlash bo’yicha usta,Йўлларни таъмирлаш бўйича уста,Мастер по ремонту пути,Yóllardı ońlaw boyınsha usta,false
PROFESSION,1596,,Payvandlash bo’yicha usta,Пайвандлаш бўйича уста,Мастер по сварке,Kepserlew boyınsha usta,false
PROFESSION,1597,,Bino va inshootlarni joriy ta’mirlash va ularni saqlash bo’yicha usta,Бино ва иншоотларни жорий таъмирлаш ва уларни сақлаш бўйича уста,Мастер по текущему ремонту и содержанию зданий и сооружений,Bino hám inshootlardı joriy ońlaw hám olardı saqlaw boyınsha usta,false
PROFESSION,1598,,Issiqlik ta’minoti inshootlari jihozlarini ekspplattsiya va montaj qilish bo’yicha ustasi,Иссиқлик таъминоти иншоотлари жиҳозларини экспплаттция ва монтаж қилиш бўйича устаси,Мастер по эксплуатации и монтажу оборудования объектов теплоснабжения,Jıllılıq támiyinlewi inshootları úskenelerin ekspplattsiya hám montaj qılıw boyınsha ustası,false
PROFESSION,1599,,Qurilish va montaj (ta’mirlashqurilish) ishlari ustasi,Қурилиш ва монтаж (таъмирлашқурилиш) ишлари устаси,Мастер строительных и монтажных (ремонтностроительных) работ,Qurılıs hám montaj (ta'mirlashqurilish) jumısları ustası,false
PROFESSION,1600,,Qurilish-montaj ishlari ustasi,Қурилиш-монтаж ишлари устаси,Мастер строительных и монтажных работ,Qurılıs-montaj jumısları ustası,false
PROFESSION,1601,,Loyiha-smeta byurosi boshlig’i,Лойиҳа-смета бюроси бошлиғи,Начальник бюро проектно-сметного,Joybar-smeta byurosı baslıǵı,false
PROFESSION,1602,,Qurilish laboratoriyasi boshlig’i,Қурилиш лабораторияси бошлиғи,Начальник лаборатории строительной,Qurılıs laboratoriyası baslıǵı,false
PROFESSION,1603,,Montaj (ko’chma mexanizatsiyalashgan kolonna) boshqarmasi boshlig’i,Монтаж (кўчма механизациялашган колонна) бошқармаси бошлиғи,Начальник монтажного управления (передвижной механизированной колонны),Montaj (kóchma mexanizatsiyalashgan kolonna) basqarması baslıǵı,false
PROFESSION,1604,,Bo’lim boshlig’i (qurilishda),Бўлим бошлиғи (қурилишда),Начальник отдела (в строительстве),Bólim baslıǵı (qurilishda),false
PROFESSION,1605,,Kapital qurilish bo’limi boshlig’i,Капитал қурилиш бўлими бошлиғи,Начальник отдела капитального строительства,Kapital qurılıs bólimi baslıǵı,false
PROFESSION,1606,,Qurilish-montaj ishlarini sifatini nazorat qilish bo’limi boshlig’i,Қурилиш-монтаж ишларини сифатини назорат қилиш бўлими бошлиғи,Начальник отдела комплектации домостроительных и сельских строительных комбинатов,Qurılıs-montaj ishların sapasın qadaǵalaw qılıw bólimi baslıǵı,false
PROFESSION,1607,,Qurilish tashkiloti qurilmalar bo’limi boshlig’i,Қурилиш ташкилоти қурилмалар бўлими бошлиғи,Начальник отдела комплектации управления производственно-технологической комплектации,Qurılıs shólkemi qurılmalar bólimi baslıǵı,false
PROFESSION,1608,,Ishlab chiqarish-texnologik jamlash boshqarmasi tezkor-ishlab chiqarish bo’limi boshlig’i,Ишлаб чиқариш-технологик жамлаш бошқармаси тезкор-ишлаб чиқариш бўлими бошлиғи,Начальник отдела контроля качества строительно-монтажных работ,Óndiris-texnologiyalıq jamlash basqarması operativ-óndiris bólimi baslıǵı,false
PROFESSION,1609,,Ishlab chiqarishga tayyorlash bo’limi boshlig’i,Ишлаб чиқаришга тайёрлаш бўлими бошлиғи,Начальник отдела оборудования строительной организации,Ishlab chiqarishga tayarlaw bólimi baslıǵı,false
PROFESSION,1610,,Yo’llarni qurish va ekspluatatsiya qilish bo’yicha ishlab chiqarish bo’limi boshlig’i,Йўлларни қуриш ва эксплуатация қилиш бўйича ишлаб чиқариш бўлими бошлиғи,Начальник отдела оперативно-производственного управления производственно-технологической комплектации,Yóllardı qurish hám paydalanıw qılıw boyınsha óndiris bólimi baslıǵı,false
PROFESSION,1611,,Smeta-shartnoma bo’limi boshlig’i,Смета-шартнома бўлими бошлиғи,Начальник отдела подготовки производства,Smeta-shartnoma bólimi baslıǵı,false
PROFESSION,1612,,Loyiha va smeta ekspertizasi bo’limi boshlig’i,Лойиҳа ва смета экспертизаси бўлими бошлиғи,Начальник отдела производственного по строительству и эксплуатации дорог,Joybar hám smeta ekspertizasi bólimi baslıǵı,false
PROFESSION,1613,,Smeta-shartnoma bo’limi boshlig’i,Смета-шартнома бўлими бошлиғи,Начальник отдела сметно-договорного,Smeta-shartnoma bólimi baslıǵı,false
PROFESSION,1634,,Bosh releychi,Бош релейчи,Главный релейщик,Bas releyshı,false
PROFESSION,1614,,Loyiha va smetalar ekspertizasi bo’limi boshlig’i,Лойиҳа ва сметалар экспертизаси бўлими бошлиғи,Начальник отдела экспертизы проектов и смет,Joybar hám smetalar ekspertizasi bólimi baslıǵı,false
PROFESSION,1615,,Qurilish laboratoriyasi boshlig’i,Қурилиш лабораторияси бошлиғи,Начальник строительной лаборатории,Qurılıs laboratoriyası baslıǵı,false
PROFESSION,1616,,Texnologik qurilma boshlig’i,Технологик қурилма бошлиғи,Начальник технологической установки,Texnologiyalıq qurılma baslıǵı,false
PROFESSION,1617,,Uchastka boshlig’i (qurilishda),Участка бошлиғи (қурилишда),Начальник участка (в строительстве),Uchastka baslıǵı (qurilishda),false
PROFESSION,1618,,Mashina va uskunalarni yangi bazaga ko’chirib keltirish uchastkasi boshlig’i,Машина ва ускуналарни янги базага кўчириб келтириш участкаси бошлиғи,Начальник участка перебазирования строительных машин и механизмов,Mashina hám uskunalardı jańa bazaga kóchirib keltirish uchastkası baslıǵı,false
PROFESSION,1619,,Rejali ta’mirlash uchastkasi boshlig’i,Режали таъмирлаш участкаси бошлиғи,Начальник участка планово-предупредительного ремонта,Rejali ońlaw uchastkası baslıǵı,false
PROFESSION,1620,,Ortish-tushirish ishlari uchastka boshlig’i,Ортиш-тушириш ишлари участка бошлиғи,Начальник участка погрузочно-разгрузочных работ,Júklew-túsiriw jumısları uchastka baslıǵı,false
